DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-05-31,capsicum,Capsicum green,61.940000000000005,309.0806000000001,309.0806000000001
2016-05-31,carrots,Carrots 1kg,209.0,311.4100000000007,144.2099999999997
2016-05-31,coconut Products,Coconut Fine 500g,1.0,3.99,0.9900000000000002
2016-05-31,trutaste,Pistachios Salted 350g,2.0,20.0,0.19999999999999926
2016-06-30,Apples,Apple Granny smith 2kg Bags,3.0,13.5,4.5
2016-06-30,Asian Vegies,bitter melon,14.556,65.50200000000001,-7.277999999999999
2016-06-30,Avocadoes,Avocado Hass Medium,301.0,598.9900000000011,-304.00999999999954
2016-06-30,Bananas,Banana Cavendish,1004.0940000000003,1998.1470600000014,-10.040939999999996
2016-06-30,Berries,Berries Strawberry (large),36.0,136.79999999999995,16.920000000000005
2016-06-30,Bunch Vegies,Red Radish bunch,8.0,14.400000000000002,-5.6000000000000005
2016-06-30,Cabbages,Cabbage Wombok,21.0,31.5,-47.25
2016-06-30,Chillies,chilli Jalapeno,0.098,0.9800000000000001,0.9800000000000001
2016-06-30,Citrus,Gold Nugget700g,31.0,62.0,-6.200000000000005
2016-06-30,Cucumbers,Cucumber continental,267.0,400.5,400.5
2016-06-30,Cut Fruits,Rockmelon Half,1.0,1.0,0.0
2016-06-30,Cut Veggies,cabbage red half,1.0,2.7,2.7
2016-06-30,Eggs,egg free range 500g,11.0,43.890000000000015,19.689999999999998
2016-06-30,Flowers,Bunch Roses,1.0,9.0,1.0
2016-06-30,Grapes,grapes sulthana,24.088000000000005,120.19912000000004,72.02311999999998
2016-06-30,Groceries-Dry Goods,Lentils 400g,1.0,1.29,0.38
2016-06-30,Herbs,Curry Leaves,0.14,0.28,0.28
2016-06-30,Kalamata olives,Virgin olive oil 1Lt,1.0,12.99,1.99
2016-06-30,Lettuces,Baby Spinach 100g,1.0,1.49,-0.010000000000000007
2016-06-30,Melons,Piel de Sapo Melon,27.0,80.72999999999999,-0.26999999999999424
2016-06-30,Multi buy,Avocado 2 for $,4.0,8.0,3.0
2016-06-30,Mushrooms,Mushroom Button,2.542,27.93658,27.93658
